Pos,2024,Title,Director,Year,Country,Mins
1,,Brief Encounter,David Lean,1946,UK,86
2,,The Last Chance,Leopold Lindtberg,1946,Switzerland,104
3,,The Lost Weekend,Billy Wilder,1946,USA,101
4,,María Candelaria,Emilio Fernández,1946,Mexico,103
5,,Men Without Wings,František Čáp,1946,Czechoslovakia,97
6,,Neecha Nagar,Chetan Anand,1946,India,122
7,,Pastoral Symphony,Jean Delannoy,1946,France,110
8,,The Red Meadows,"Bodil Ipsen, Lau Lauritzen Jr.",1946,Denmark,102
9,,"Rome, Open City",Roberto Rossellini,1946,Italy,103
10,,Torment,Alf Sjöberg,1946,Sweden,101
11,,The Turning Point,Fridrikh Ermler,1946,Soviet Union,108
12,,Antoine and Antoinette,Jacques Becker,1947,France,78
13,,Crossfire,Edward Dmytryk,1947,USA,86
14,,The Damned,René Clément,1947,France,105
15,,Ziegfeld Follies,Vincente Minnelli,1947,USA,110
16,,The Third Man,Carol Reed,1949,UK,104
17,,Miracle in Milan,Vittorio De Sica,1951,Italy,100
18,,Miss Julie,Alf Sjöberg,1951,Sweden,91
19,,Othello,Orson Welles,1952,Italy/Morocco/USA,91
20,,Two Cents Worth of Hope,Renato Castellani,1952,Italy,110
21,,The Wages of Fear,Henri-Georges Clouzot,1953,France,131
22,,Gate of Hell,Teinosuke Kinugasa,1954,Japan,89
23,,Marty,Delbert Mann,1955,USA,90
24,,The Silent World,"Jacques Cousteau, Louis Malle",1956,France,86
25,,Friendly Persuasion,William Wyler,1957,USA,137
26,,The Cranes Are Flying,Mikhail Kalatozov,1958,Soviet Union,97
27,,Black Orpheus,Marcel Camus,1959,France/Brazil,100
28,,La Dolce Vita,Federico Fellini,1960,Italy,174
29,,The Long Absence,Henri Colpi,1961,France,98
30,,Viridiana,Luis Buñuel,1961,Spain/Mexico,90
31,,O Pagador de Promessas,Anselmo Duarte,1962,Brazil,95
32,,The Leopard,Luchino Visconti,1963,Italy,187
33,,The Umbrellas of Cherbourg,Jacques Demy,1964,France,91
34,,The Knack ...and How to Get It,Richard Lester,1965,UK,84
35,,"The Birds, the Bees and the Italians",Pietro Germi,1966,Italy,118
36,,A Man and a Woman,Claude Lelouch,1966,France,102
37,,Blowup,Michelangelo Antonioni,1967,UK/Italy,111
38,,If....,Lindsay Anderson,1969,UK,111
39,,M*A*S*H,Robert Altman,1970,USA,116
40,,The Go-Between,Joseph Losey,1971,UK,118
41,,The Mattei Affair,Francesco Rosi,1972,Italy,116
42,,The Working Class Goes to Heaven,Elio Petri,1972,Italy,125
43,,The Hireling,Alan Bridges,1973,UK,108
44,,Scarecrow,Jerry Schatzberg,1973,USA,112
45,,The Conversation,Francis Ford Coppola,1974,USA,113
46,,Chronicle of the Years of Fire,Mohammed Lakhdar-Hamina,1975,Algeria,177
47,,Taxi Driver,Martin Scorsese,1976,USA,114
48,,Padre Padrone,Paolo and Vittorio Taviani,1977,Italy,113
49,,The Tree of Wooden Clogs,Ermanno Olmi,1978,Italy,186
50,,Apocalypse Now,Francis Ford Coppola,1979,USA,147
51,,The Tin Drum,Volker Schlöndorff,1979,West Germany/France,142
52,,All That Jazz,Bob Fosse,1980,USA,123
53,,Kagemusha,Akira Kurosawa,1980,Japan,180
54,,Man of Iron,Andrzej Wajda,1981,Poland,156
55,,Missing,Costa-Gavras,1982,USA,122
56,,Yol,"Yılmaz Güney, Şerif Gören",1982,Turkey,113
57,,The Ballad of Narayama,Shōhei Imamura,1983,Japan,130
58,,"Paris, Texas",Wim Wenders,1984,West Germany/France,145
59,,When Father Was Away on Business,Emir Kusturica,1985,Yugoslavia,136
60,,The Mission,Roland Joffé,1986,UK/USA,125
