Pos,Year,Title,Director,2024,Country,Mins
1,1978,Girlfriends,Claudia Weill,,,
2,1978,The Whole Shootin' Match (second place),Eagle Pennell,,,
3,1982,Circle of Power,Bobby Roth,,,
4,1984,Old Enough,Marisa Silver,,,
5,1985,Blood Simple,Joel Coen,,,
6,1986,Smooth Talk,Joyce Chopra,,,
7,1987,The Trouble with Dick,Gary Walkow,,,
8,1987,Waiting for the Moon,Jill Godmilow,,,
9,1988,Heat and Sunlight,Rob Nilsson,,,
10,1989,True Love,Nancy Savoca,,,
11,1990,Chameleon Street,Wendell B. Harris Jr.,,,
12,1991,Poison,Todd Haynes,,,
13,1992,In the Soup,Alexandre Rockwell,,,
14,1993,Public Access,Bryan Singer,,,
15,1993,Ruby in Paradise,Victor Nunez,,,
16,1994,What Happened Was...,Tom Noonan,,,
17,1995,The Brothers McMullen,Edward Burns,,,
18,1995,The Young Poisoner's Handbook,Benjamin Ross,,,
19,1996,Welcome to the Dollhouse,Todd Solondz,,,
20,1997,Sunday,Jonathan Nossiter,,,
21,1998,Slam,Marc Levin,,,
22,1999,Three Seasons,Tony Bui,,,
23,2000,Girlfight,Karyn Kusama,,,
24,2000,You Can Count on Me,Kenneth Lonergan,,,
25,2001,The Believer,Henry Bean,,,
26,2002,Personal Velocity,Rebecca Miller,,,
27,2003,American Splendor,Shari Springer Berman and Robert Pulcini,,,
28,2004,Primer,Shane Carruth,,,
29,2005,Forty Shades of Blue,Ira Sachs,,,
30,2006,Quinceañera,Richard Glatzer,,,
31,2007,Padre Nuestro,Christopher Zalla,,,
32,2008,Frozen River,Courtney Hunt,,,
33,2009,"Precious: Based on the Novel ""Push"" by Sapphire",Lee Daniels,,,
34,2010,Winter's Bone,Debra Granik,,,
35,2011,Like Crazy,Drake Doremus,,,
36,2012,Beasts of the Southern Wild,Benh Zeitlin,,,
37,2013,Fruitvale Station,Ryan Coogler,,,
38,2014,Whiplash,Damien Chazelle,,,
39,2015,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,,,
40,2016,The Birth of a Nation,Nate Parker,,,
41,2017,I Don't Feel at Home in This World Anymore,Macon Blair,,,
42,2018,The Miseducation of Cameron Post,Desiree Akhavan,,,
43,2019,Clemency,Chinonye Chukwu,,,
44,2020,Minari,Lee Isaac Chung,,,
45,2021,CODA,Sian Heder,,,
46,2022,Nanny,Nikyatu Jusu,,,
47,2023,A Thousand and One,A.V. Rockwell,,,
48,2024,In the Summers,Alessandra Lacorazza Samudio,,,
49,2025,Atropia,Hailey Gates,,,
