Pos,2024,Title,Director,Year,Country,Mins
1,,The Texas Chain Saw Massacre,,1974,,
2,,The Exorcist,,1973,,
3,,Psycho,,1960,,
4,,Jaws,,1975,,
5,,Rosemary's Baby,,1968,,
6,,Night of the Living Dead,,1968,,
7,,Audition,,1999,,
8,,Frankenstein,,1931,,
9,,"Salò, or the 120 Days of Sodom",,1975,,
10,,Carrie,,1976,,
11,,Alien,,1979,,
12,,King Kong,,1933,,
13,,The Silence of the Lambs,,1991,,
14,,Nosferatu: A Symphony of Horror,,1922,,
15,,Don't Look Now,,1973,,
16,,Halloween,,1978,,
17,,Diabolique,,1955,,
18,,The Shining,,1980,,
19,,The Mummy,,1932,,
20,,Get Out,,2017,,
21,,Black Sunday,,1960,,
22,,Carnival of Souls,,1962,,
23,,Dawn of the Dead,,1978,,
24,,The Blair Witch Project,,1999,,
25,,Scream,,1996,,
26,,The Innocents,,1961,,
27,,Dracula,,1931,,
28,,The Wicker Man,,1973,,
29,,The Phantom of the Opera,,1925,,
30,,Eyes Without a Face,,1960,,
31,,Ringu,,1998,,
32,,The Night of the Hunter,,1955,,
33,,M,,1931,,
34,,Evil Dead II,,1987,,
35,,Invasion of the Body Snatchers,,1956,,
36,,Hereditary,,2018,,
37,,Deep Red,,1975,,
38,,Freaks,,1932,,
39,,Kwaidan,,1964,,
40,,Bride of Frankenstein,,1935,,
41,,The Devils,,1971,,
42,,28 Days Later,,2002,,
43,,Vampyr,,1932,,
44,,Manhunter,,1986,,
45,,The Invisible Man,,1933,,
46,,The Thing,,1982,,
47,,Godzilla,,1954,,
48,,The Birds,,1963,,
49,,The Witch,,2015,,
50,,Onibaba,,1964,,
51,,Irreversible,,2002,,
52,,Blood and Black Lace,,1964,,
53,,Eraserhead,,1977,,
54,,Let the Right One In,,2008,,
55,,The Cabinet of Dr. Caligari,,1920,,
56,,The Fly,,1986,,
57,,Peeping Tom,,1960,,
58,,Raw,,2016,,
59,,What Ever Happened to Baby Jane?,,1962,,
60,,Funny Games,,1997,,
61,,Candyman,,1992,,
62,,Gremlins,,1984,,
63,,Dr. Jekyll and Mr. Hyde,,1931,,
64,,Planet Terror,,2007,,
65,,The Incredible Shrinking Man,,1957,,
66,,The Babadook,,2014,,
67,,Possession,,1981,,
68,,The Sixth Sense,,1999,,
69,,Near Dark,,1987,,
70,,The Wailing,,2016,,
71,,Hostel: Part II,,2007,,
72,,Creature from the Black Lagoon,,1954,,
73,,Blood for Dracula,,1974,,
74,,A Nightmare on Elm Street,,1984,,
75,,The Descent,,2005,,
76,,I Walked with a Zombie,,1943,,
77,,The Blob,,1958,,
78,,Angst,,1983,,
79,,The Omen,,1976,,
80,,House of Wax,,1953,,
81,,The Wolf Man,,1941,,
82,,What Lies Beneath,,2000,,
83,,The Little Shop of Horrors,,1960,,
84,,Dead Ringers,,1988,,
85,,Re-Animator,,1985,,
86,,Village of the Damned,,1960,,
87,,The Vanishing,,1988,,
88,,Blood Feast,,1963,,
89,,Horror of Dracula,,1958,,
90,,A Page of Madness,,1926,,
91,,Dead of Night,,1945,,
92,,The Human Centipede 2 (Full Sequence),,2011,,
93,,Cat People,,1942,,
94,,Event Horizon,,1997,,
95,,Dead Alive,,1992,,
96,,Invasion of the Body Snatchers,,1978,,
97,,The Haunting,,1963,,
98,,The Devil's Backbone,,2001,,
99,,Suspiria,,1977,,
100,,Repulsion,,1965,,
